Subject_code;Title;Department_id
Б1.В.01.02;Объектно-ориентированное программирование;4
Б1.В.01.03;Создание математических приложений;4
Б1.В.02;Разработка приложений для мобильных устройств;4
Б1.В.06;Экстремальные задачи;4
Б1.В.08;Уравнения с частными производными;4
Б1.В.11;Курсовая работа по направлению;4
Б1.В.ДВ.01.04;Компьютерные технологии;2
Б1.В.ДВ.02.02;Компьютерная алгебра;2
Б1.В.ДВ.02.04;Программирование в Maple и Maplet;4
Б1.В.ДВ.03.02;Мультимедийные технологии;4
Б1.В.ДВ.03.03;Общая теория относительности;9
Б1.В.ДВ.03.06;Технологии семантического Weba;4
Б1.О.01;Философия;6
Б1.О.02;История и методология математики;10
Б1.О.06;Управление проектами;4
Б1.О.07;Математический анализ;5
Б1.О.08;Алгебра;2
Б1.О.09;Аналитическая геометрия;3
Б1.О.10;Дифференциальные уравнения;4
Б1.О.12;Элективные курсы по физической культуре и спорту;7
Б1.О.13;Численные методы;4
Б1.О.14;Функциональный анализ;5
Б1.О.15;Основы компьютерных наук;4
Б1.О.16;Дифференциальная геометрия и топология;3
Б1.О.17.02;Случайные процессы;5
Б1.О.18;Экономика;8
Б1.О.20;Введение в специальность;5
Б1.О.6;Инновационные технологии;4
